ID,Title,Author,Author First Name,Author Last Name,Publisher,Page Count,Genres,ISBN,Published Date,Checkout Date,Checkout Duration,Available Date,Available Status,Checkout,Edit
0,Attack on Titan: Volume 13,Hajime Isayama,Hajime,Isayama,Kodansha Comics,192,none,9781612626864,31-Jul-14,,,,Available,Checkout,Edit
1,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,Barbara,Allan,Kensington Publishing Corp.,288,"Fiction, Mystery, Detective, Cozy, General",9780758272799,1-Jul-07,,,,Available,Checkout,Edit
2,The Art of Super Mario Odyssey,Nintendo,Nintendo,,Dark Horse Comics,368,"Games, Activities, Video, Electronic",9781506713816,5-Nov-19,,,,Available,Checkout,Edit
4,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,Peter,Brett,HarperCollins UK,544,"Fiction, Fantasy, Dark Fantasy",9780007287758,8-Jan-09,,,,Available,Checkout,Edit
6,God of War: The Official Novelization,J.M. Barlog,J.M.,Barlog,Titan Books,400,"Fiction, Media Tie-In",9781789090154,28-Aug-18,,,,Available,Checkout,Edit
7,Edgedancer: From the Stormlight Archive,Brandon Sanderson,Brandon,Sanderson,Tor Books,226,"Fiction, Fantasy, Epic",9781250166609,17-Oct-17,,,,Available,Checkout,Edit
8,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,Jason,Schreier,HarperCollins,304,"Games, Activities, Video, Electronic",9780062651242,5-Sep-17,,,,Available,Checkout,Edit
9,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,Adam,Kay,Pan Macmillan,112,"Biography, Autobiography, Medical (incl. Patients)",9781529018592,17-Oct-19,,,,Available,Checkout,Edit
10,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,Andrzej,Sapkowski,Hachette UK,400,"Fiction, Fantasy, Dragons, Mythical Creatures",9781473211551,21-May-15,,,,Available,Checkout,Edit
13,Deadpool Kills the Marvel Universe,Cullen Bunn,Cullen,Bunn,Marvel Entertainment,96,"Comics, Graphic Novels, Superheroes",9781302368807,21-May-14,,,,Available,Checkout,Edit
15,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,Robert,Jordan,Tor Fantasy,704,"Fiction, Fantasy, Epic",9781429960748,20-Jul-10,,,,Available,Checkout,Edit
16,My Little Pony: Friendship is Magic #83,Thom Zahler,Thom,Zahler,IDW Publishing,30,"Comics & Graphic Novels, Fantasy",Original pages,16-Oct-19,,,,Available,Checkout,Edit
18,Ask A Footballer,James Milner,James,Milner,Hachette UK,320,"Biography, Autobiography, Sports",9781529404937,31-Oct-19,,,,Available,Checkout,Edit
20,Sonic the Hedgehog #3,Ian Flynn,Ian,Flynn,IDW Publishing,32,"Comics & Graphic Novels, Science Fiction",Original pages,18-Apr-18,,,,Available,Checkout,Edit
22,The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,Nicola,Marsh,Bookouture,358,"Fiction, Women",9781838880514,11-Oct-19,,,,Available,Checkout,Edit
24,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,Douglas,Adams,Pan Macmillan,245,"Juvenile Fiction, Humorous Stories",9780330513081,1-Sep-09,,,,Available,Checkout,Edit
25,"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,Mark,Lawrence,HarperCollins UK,416,"Fiction, Classics",9780007423309,4-Aug-11,,,,Available,Checkout,Edit
26,Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",Robert,Cialdini,Harper Collins,336,"Business, Economics, Motivational",9780061899874,2-Jun-09,,,,Available,Checkout,Edit
28,Introducing Critical Theory: A Graphic Guide,Stuart Sim,Stuart,Sim,Icon Books,176,"Social Science, General",9781840469097,1-Jan-04,,,,Available,Checkout,Edit
29,Morning Star,Pierce Brown,Pierce,Brown,Del Rey,544,"Fiction, Science Fiction, Action, Adventure",9780345539854,9-Feb-16,,,,Available,Checkout,Edit
31,After Anna,Alex Lake,Alex,Lake,HarperCollins UK,416,"Fiction, Mystery, Detective, General",9780008150907,30-Jul-15,,,,Available,Checkout,Edit
32,How to Win Friends and Influence People,Dale Carnegie,Dale,Carnegie,Random House,304,"Business, Economics, Motivational",9781409005216,30-Sep-10,,,,Available,Checkout,Edit
